| bank.n.bnc.1065            | unclear                                |
| bank.n.bnc.3108            | unclear                                |
| bank.n.bnc.3108            | bank%1:17:01::                         |
| bank.n.bnc.3112            | bank%1:14:00::                         |
| bank.n.bnc.3112            | bank%1:14:00::                         |
| bank.n.bnc.3112            | bank%1:14:00::                         |
| bank.n.bnc.3135            | bank%1:17:01::                         |
| bank.n.bnc.3135            | bank%1:17:01::                         |
| bank.n.bnc.3135            | bank%1:17:01::                         |
| bank.n.bnc.3183            | bank%1:14:00::                         |
| bank.n.bnc.3183            | bank%1:14:00::                         |
| bank.n.bnc.3183            | bank%1:14:00::                         |
| bank.n.bnc.3256            | bank%1:14:00::                         |
| bank.n.bnc.3256            | bank%1:14:00::                         |
| bank.n.bnc.3256            | bank%1:14:00::                         |
| bank.n.bnc.3261            | bank%1:14:00::                         |
| bank.n.bnc.3261            | bank%1:14:00::                         |
| bank.n.bnc.3261            | bank%1:14:00::                         |
| bank.n.bnc.3281            | bank%1:17:01::                         |
| bank.n.bnc.3281            | bank%1:17:01::                         |
| bank.n.bnc.3281            | bank%1:17:01::                         |
| bank.n.bnc.3315            | bank%1:17:01::                         |
| bank.n.bnc.3315            | bank%1:17:01::                         |
| bank.n.bnc.3315            | bank%1:17:01::                         |
| bank.n.bnc.3378            | bank%1:14:00::                         |
| bank.n.bnc.3378            | bank%1:14:00::                         |
| bank.n.bnc.3378            | bank%1:14:00::                         |
| bank.n.bnc.339             | bank%1:17:02::                         |
| bank.n.bnc.339             | bank%1:17:00::                         |
| bank.n.bnc.339             | bank%1:06:00::                         |
| bank.n.bnc.339             | unclear                                |
| bank.n.bnc.3479            | bank%1:14:00::                         |
| bank.n.bnc.3479            | bank%1:14:00::                         |
| bank.n.bnc.3479            | bank%1:14:00::                         |
| bank.n.bnc.3533            | bank%1:14:00::                         |
| bank.n.bnc.3533            | bank%1:14:00::                         |
| bank.n.bnc.3533            | bank%1:14:00::                         |
| bank.n.bnc.3550            | unclear                                |
| bank.n.bnc.3550            | bank%1:14:00::                         |
| bank.n.bnc.3550            | bank%1:14:00::                         |
| bank.n.bnc.3877            | bank%1:14:00::                         |
| bank.n.bnc.3877            | bank%1:14:00::                         |
| bank.n.bnc.3877            | unclear                                |
| bank.n.bnc.391             | bank%1:14:00::                         |
| bank.n.bnc.391             | bank%1:14:00::                         |
| bank.n.bnc.391             | bank%1:14:00::                         |
| bank.n.bnc.391             | bank%1:14:00::                         |
| bank.n.bnc.3980            | bank%1:14:00::                         |
| bank.n.bnc.3980            | bank%1:14:00::                         |
| bank.n.bnc.3980            | bank%1:14:00::                         |
| bank.n.bnc.406             | bank%1:14:01::                         |
| bank.n.bnc.406             | bank%1:14:01::                         |
| bank.n.bnc.406             | bank%1:14:01::                         |
| bank.n.bnc.406             | bank%1:14:01::                         |
| bank.n.bnc.4082            | bank%1:06:00::                         |
| bank.n.bnc.4082            | bank%1:06:00::                         |
| bank.n.bnc.4082            | bank%1:06:00::                         |
| bank.n.bnc.4163            | bank%1:14:00::                         |
| bank.n.bnc.4163            | bank%1:14:00::                         |
| bank.n.bnc.4163            | bank%1:14:00::                         |
| bank.n.bnc.418             | bank%1:14:00::                         |
| bank.n.bnc.418             | bank%1:14:00::                         |
| bank.n.bnc.418             | bank%1:14:00::                         |
| bank.n.bnc.418             | bank%1:14:00::                         |
| bank.n.bnc.4238            | bank%1:14:00::                         |
| bank.n.bnc.4238            | bank%1:14:00::                         |
| bank.n.bnc.4238            | bank%1:14:00::                         |
| bank.n.bnc.430             | bank%1:14:00::                         |
| bank.n.bnc.430             | bank%1:14:00::                         |
| bank.n.bnc.430             | bank%1:14:00::                         |
| bank.n.bnc.430             | bank%1:14:00::                         |
| bank.n.bnc.4355            | bank%1:17:01::                         |
| bank.n.bnc.4355            | bank%1:17:01::                         |
| bank.n.bnc.4355            | bank%1:17:01::                         |
| bank.n.bnc.441             | bank%1:14:00::                         |
| bank.n.bnc.441             | bank%1:14:00::                         |
| bank.n.bnc.441             | bank%1:14:00::                         |
| bank.n.bnc.441             | bank%1:14:00::                         |
| bank.n.bnc.4426            | bank%1:14:01::                         |
| bank.n.bnc.4426            | bank%1:14:01::                         |
| bank.n.bnc.4426            | bank%1:14:01::                         |
| bank.n.bnc.4469            | unclear                                |
| bank.n.bnc.4469            | unclear                                |
| bank.n.bnc.4469            | unlisted-sense                         |
| bank.n.bnc.4497            | bank%1:17:00::                         |
| bank.n.bnc.4497            | bank%1:17:00::                         |
| bank.n.bnc.4497            | bank%1:17:00::                         |
| bank.n.bnc.4662            | bank%1:14:00::                         |
| bank.n.bnc.4662            | bank%1:14:00::                         |
| bank.n.bnc.4662            | bank%1:14:00::                         |
| bank.n.bnc.4674            | bank%1:14:00::                         |
| bank.n.bnc.4674            | bank%1:14:00::                         |
| bank.n.bnc.4674            | bank%1:14:00::                         |
| bank.n.bnc.4707            | bank%1:14:00::                         |
| bank.n.bnc.4707            | bank%1:14:00::                         |
| bank.n.bnc.4707            | bank%1:14:00::                         |
| bank.n.bnc.4768            | bank%1:14:00::                         |
| bank.n.bnc.4768            | bank%1:14:00::                         |
| bank.n.bnc.4768            | bank%1:14:00::                         |
| bank.n.bnc.4779            | bank%1:14:00::                         |
| bank.n.bnc.4779            | bank%1:14:00::                         |
| bank.n.bnc.4779            | bank%1:14:00::                         |
| bank.n.bnc.4800            | bank%1:14:00::                         |
| bank.n.bnc.4800            | bank%1:14:00::                         |
| bank.n.bnc.4800            | bank%1:14:00::                         |
| bank.n.bnc.4908            | bank%1:14:00::                         |
| bank.n.bnc.4908            | bank%1:06:00::                         |
| bank.n.bnc.4908            | bank%1:14:00::                         |
| bank.n.bnc.4932            | bank%1:17:01::                         |
| bank.n.bnc.4932            | bank%1:17:00::                         |
| bank.n.bnc.4932            | bank%1:17:00::                         |
| bank.n.bnc.4938            | bank%1:14:00::                         |
| bank.n.bnc.4938            | bank%1:14:00::                         |
| bank.n.bnc.4938            | bank%1:14:00::                         |
| bank.n.bnc.5019            | bank%1:14:00::                         |
| bank.n.bnc.5019            | bank%1:14:00::                         |
| bank.n.bnc.5019            | bank%1:14:00::                         |
| bank.n.bnc.5039            | bank%1:14:00::                         |
| bank.n.bnc.5039            | bank%1:14:00::                         |
| bank.n.bnc.5039            | bank%1:14:00::                         |
| bank.n.bnc.5053            | bank%1:14:00::                         |
| bank.n.bnc.5053            | bank%1:06:00::                         |
| bank.n.bnc.5053            | bank%1:14:00::                         |
| bank.n.bnc.506             | bank%1:14:00::                         |
| bank.n.bnc.506             | bank%1:14:00::                         |
| bank.n.bnc.506             | unclear                                |
| bank.n.bnc.506             | bank%1:14:00::                         |
| bank.n.bnc.5175            | bank%1:14:00::                         |
| bank.n.bnc.5175            | bank%1:14:00::                         |
| bank.n.bnc.5175            | bank%1:14:00::                         |
| bank.n.bnc.5187            | bank%1:14:00::                         |
| bank.n.bnc.5187            | bank%1:14:00::                         |
| bank.n.bnc.5187            | bank%1:14:00::                         |
| bank.n.bnc.5310            | bank%1:14:00::                         |
| bank.n.bnc.5310            | bank%1:14:00::                         |
| bank.n.bnc.5310            | bank%1:14:00::                         |
| bank.n.bnc.5425            | bank%1:17:01::                         |
| bank.n.bnc.5425            | bank%1:17:00::                         |
| bank.n.bnc.5425            | bank%1:17:01::                         |
| bank.n.bnc.5472            | bank%1:14:01::                         |
| bank.n.bnc.5472            | bank%1:17:00::                         |
| bank.n.bnc.5472            | unlisted-sense                         |
| bank.n.bnc.5485            | bank%1:17:00::                         |
| bank.n.bnc.5485            | bank%1:14:01::                         |
| bank.n.bnc.5485            | bank%1:14:01::                         |
| bank.n.bnc.5488            | bank%1:14:00::                         |
| bank.n.bnc.5488            | bank%1:14:00::                         |
| bank.n.bnc.5488            | bank%1:14:00::                         |
| bank.n.bnc.5511            | bank%1:17:00::                         |
| bank.n.bnc.5511            | bank%1:17:00::                         |
| bank.n.bnc.5511            | bank%1:17:00::                         |
| bank.n.bnc.5574            | bank%1:14:00::                         |
| bank.n.bnc.5574            | bank%1:14:00::                         |
| bank.n.bnc.5574            | bank%1:14:00::                         |
| bank.n.bnc.5665            | bank%1:21:00::                         |
| bank.n.bnc.5665            | bank%1:21:00::                         |
| bank.n.bnc.5665            | bank%1:21:00::                         |
| bank.n.bnc.5722            | bank%1:14:00::                         |
| bank.n.bnc.5722            | bank%1:14:00::                         |
| bank.n.bnc.5722            | bank%1:14:00::                         |
| bank.n.bnc.5768            | bank%1:17:01::                         |
| bank.n.bnc.5768            | bank%1:17:00::                         |
| bank.n.bnc.5768            | bank%1:17:01::                         |
| bank.n.bnc.5812            | bank%1:14:00::                         |
| bank.n.bnc.5812            | bank%1:14:00::                         |
| bank.n.bnc.5812            | bank%1:14:00::                         |
| bank.n.bnc.585             | bank%1:14:00::                         |
| bank.n.bnc.585             | bank%1:14:00::                         |
| bank.n.bnc.585             | bank%1:14:00::                         |
| bank.n.bnc.585             | bank%1:14:00::                         |
| bank.n.bnc.5873            | bank%1:14:00::                         |
| bank.n.bnc.5873            | bank%1:14:00::                         |
| bank.n.bnc.5873            | bank%1:14:00::                         |
| bank.n.bnc.607             | bank%1:14:00::                         |
| bank.n.bnc.607             | bank%1:14:00::                         |
| bank.n.bnc.607             | bank%1:14:00::                         |
| bank.n.bnc.607             | bank%1:14:00::                         |
| bank.n.bnc.6102            | bank%1:14:00::                         |
| bank.n.bnc.6102            | bank%1:14:00::                         |
| bank.n.bnc.6102            | bank%1:06:00::                         |
| bank.n.bnc.6181            | bank%1:14:00::                         |
| bank.n.bnc.6181            | bank%1:14:00::                         |
| bank.n.bnc.6181            | bank%1:14:00::                         |
| bank.n.bnc.6309            | bank%1:06:00::                         |
| bank.n.bnc.6309            | bank%1:06:00::                         |
| bank.n.bnc.6309            | bank%1:06:00::                         |
| bank.n.bnc.6377            | bank%1:14:00::                         |
| bank.n.bnc.6377            | bank%1:14:00::                         |
| bank.n.bnc.6377            | bank%1:14:00::                         |
| bank.n.bnc.6512            | unclear                                |
| bank.n.bnc.6512            | bank%1:17:00::                         |
| bank.n.bnc.6512            | bank%1:17:00::                         |
| bank.n.bnc.6674            | bank%1:14:00::                         |
| bank.n.bnc.6674            | bank%1:14:00::                         |
| bank.n.bnc.6674            | bank%1:14:00::                         |
| bank.n.bnc.6710            | bank%1:14:00::                         |
| bank.n.bnc.6710            | bank%1:14:00::                         |
| bank.n.bnc.6710            | bank%1:14:00::                         |
| bank.n.bnc.6720            | bank%1:14:00::                         |
| bank.n.bnc.6720            | bank%1:14:00::                         |
| bank.n.bnc.6720            | bank%1:14:00::                         |
| bank.n.bnc.6744            | bank%1:14:00::                         |
| bank.n.bnc.6744            | bank%1:14:00::                         |
| bank.n.bnc.6744            | bank%1:14:00::                         |
| bank.n.bnc.822             | bank%1:17:01::                         |
| bank.n.bnc.822             | bank%1:17:01::                         |
| bank.n.bnc.822             | unclear                                |
| bank.n.bnc.822             | unclear                                |
| bank.n.bnc.844             | bank%1:14:00::__unlisted-sense         |
| bank.n.bnc.844             | bank%1:14:00::                         |
| bank.n.bnc.844             | bank%1:14:00::                         |
| bank.n.bnc.844             | bank%1:14:00::                         |
| bank.n.bnc.895             | bank%1:17:01::                         |
| bank.n.bnc.895             | bank%1:17:01::                         |
| bank.n.bnc.895             | bank%1:17:01::                         |
| bank.n.bnc.895             | bank%1:17:01::                         |
| bank.n.bnc.9               | bank%1:14:01::                         |
| bank.n.bnc.9               | bank%1:14:01::                         |
| bank.n.bnc.9               | bank%1:14:01::                         |
| bank.n.bnc.9               | bank%1:14:01::                         |
| bank.n.bnc.901             | bank%1:06:00::                         |
| bank.n.bnc.901             | bank%1:14:00::                         |
| bank.n.bnc.901             | bank%1:14:00::                         |
| bank.n.bnc.901             | bank%1:14:00::                         |
| bank.n.bnc.903             | bank%1:14:00::                         |
| bank.n.bnc.903             | bank%1:14:00::                         |
| bank.n.bnc.903             | bank%1:14:00::                         |
| bank.n.bnc.903             | bank%1:14:00::                         |
| bank.n.bnc.936             | bank%1:14:00::                         |
| bank.n.bnc.936             | bank%1:14:00::                         |
| bank.n.bnc.936             | bank%1:14:00::                         |
| bank.n.bnc.936             | bank%1:14:00::                         |
| bank.n.bnc.967             | bank%1:17:01::                         |
| bank.n.bnc.967             | bank%1:17:01::                         |
| bank.n.bnc.967             | bank%1:17:01::                         |
| bank.n.bnc.967             | bank%1:17:01::                         |
| bank.n.bnc.978             | bank%1:14:00::                         |
| bank.n.bnc.978             | bank%1:14:00::                         |
| bank.n.bnc.978             | bank%1:14:00::                         |
| bank.n.bnc.978             | bank%1:14:00::                         |
| bank.n.bnc.98              | bank%1:14:00::                         |
| bank.n.bnc.98              | bank%1:14:00::                         |
| bank.n.bnc.98              | bank%1:14:00::                         |
| bank.n.bnc.98              | bank%1:14:00::                         |
| bank.n.bnc.992             | bank%1:14:00::                         |
| bank.n.bnc.992             | bank%1:14:00::                         |
| bank.n.bnc.992             | bank%1:14:00::                         |
| bank.n.bnc.992             | bank%1:14:00::                         |
| bank.n.Finance.10271       | bank%1:14:00::                         |
| bank.n.Finance.10271       | bank%1:14:00::                         |
| bank.n.Finance.10271       | bank%1:14:00::                         |
| bank.n.Finance.10271       | bank%1:14:00::                         |
| bank.n.Finance.10586       | bank%1:14:00::                         |
| bank.n.Finance.10586       | bank%1:14:00::                         |
| bank.n.Finance.10586       | bank%1:14:00::                         |
| bank.n.Finance.10586       | bank%1:14:00::                         |
| bank.n.Finance.12279       | bank%1:14:00::                         |
| bank.n.Finance.12279       | bank%1:14:00::                         |
| bank.n.Finance.12279       | bank%1:14:00::                         |
| bank.n.Finance.12279       | bank%1:14:00::                         |
| bank.n.Finance.1259        | bank%1:14:00::                         |
| bank.n.Finance.1259        | bank%1:14:00::                         |
| bank.n.Finance.1259        | bank%1:14:00::                         |
| bank.n.Finance.1259        | bank%1:14:00::                         |
| bank.n.Finance.12712       | bank%1:17:01::                         |
| bank.n.Finance.12712       | unlisted-sense                         |
| bank.n.Finance.12712       | bank%1:17:01::                         |
| bank.n.Finance.12712       | bank%1:17:01::                         |
| bank.n.Finance.13616       | bank%1:17:01::                         |
| bank.n.Finance.13616       | unlisted-sense                         |
| bank.n.Finance.13616       | bank%1:17:01::                         |
| bank.n.Finance.13616       | bank%1:17:01::                         |
| bank.n.Finance.13639       | bank%1:14:00::                         |
| bank.n.Finance.13639       | bank%1:14:00::                         |
| bank.n.Finance.13639       | bank%1:14:00::                         |
| bank.n.Finance.13639       | bank%1:14:00::                         |
| bank.n.Finance.13774       | bank%1:14:00::                         |
| bank.n.Finance.13774       | bank%1:14:00::                         |
| bank.n.Finance.13774       | bank%1:14:00::                         |
| bank.n.Finance.13774       | bank%1:14:00::                         |
| bank.n.Finance.14752       | bank%1:14:00::                         |
| bank.n.Finance.14752       | bank%1:14:00::                         |
| bank.n.Finance.14752       | bank%1:14:00::                         |
| bank.n.Finance.14752       | bank%1:14:00::                         |
| bank.n.Finance.15841       | bank%1:14:00::                         |
| bank.n.Finance.15841       | bank%1:14:00::                         |
| bank.n.Finance.15841       | bank%1:14:00::                         |
| bank.n.Finance.15841       | bank%1:14:00::                         |
| bank.n.Finance.17024       | bank%1:14:00::                         |
| bank.n.Finance.17024       | bank%1:14:00::                         |
| bank.n.Finance.17024       | bank%1:14:00::                         |
| bank.n.Finance.17024       | bank%1:14:00::                         |
| bank.n.Finance.17795       | bank%1:14:00::                         |
| bank.n.Finance.17795       | bank%1:14:00::                         |
| bank.n.Finance.17795       | bank%1:14:00::                         |
| bank.n.Finance.17795       | bank%1:14:00::                         |
| bank.n.Finance.17884       | bank%1:14:00::                         |
| bank.n.Finance.17884       | bank%1:14:00::                         |
| bank.n.Finance.17884       | bank%1:14:00::                         |
| bank.n.Finance.17884       | bank%1:14:00::                         |
| bank.n.Finance.1865        | bank%1:14:00::                         |
| bank.n.Finance.1865        | bank%1:14:00::                         |
| bank.n.Finance.1865        | bank%1:14:00::                         |
| bank.n.Finance.1865        | bank%1:14:00::                         |
| bank.n.Finance.18951       | bank%1:14:00::                         |
| bank.n.Finance.18951       | bank%1:14:00::                         |
| bank.n.Finance.18951       | bank%1:14:00::                         |
| bank.n.Finance.18951       | bank%1:14:00::                         |
| bank.n.Finance.19714       | bank%1:14:00::                         |
| bank.n.Finance.19714       | bank%1:14:00::                         |
| bank.n.Finance.19714       | bank%1:14:00::                         |
| bank.n.Finance.19714       | bank%1:14:00::                         |
| bank.n.Finance.22628       | bank%1:14:00::                         |
| bank.n.Finance.22628       | bank%1:14:00::                         |
| bank.n.Finance.22628       | bank%1:14:00::                         |
| bank.n.Finance.23013       | bank%1:14:00::                         |
| bank.n.Finance.23013       | bank%1:14:00::                         |
| bank.n.Finance.23013       | bank%1:14:00::                         |
| bank.n.Finance.23352       | bank%1:14:00::                         |
| bank.n.Finance.23352       | bank%1:14:00::                         |
| bank.n.Finance.23352       | bank%1:14:00::                         |
| bank.n.Finance.2414        | bank%1:17:01::                         |
| bank.n.Finance.2414        | unlisted-sense                         |
| bank.n.Finance.2414        | bank%1:17:01::                         |
| bank.n.Finance.2414        | bank%1:17:01::                         |
| bank.n.Finance.24208       | bank%1:14:00::                         |
| bank.n.Finance.24208       | bank%1:14:00::                         |
| bank.n.Finance.24208       | bank%1:14:00::                         |
| bank.n.Finance.24290       | bank%1:14:00::                         |
| bank.n.Finance.24290       | bank%1:14:00::                         |
| bank.n.Finance.24290       | bank%1:14:00::                         |
| bank.n.Finance.24390       | bank%1:14:00::                         |
| bank.n.Finance.24390       | bank%1:14:00::                         |
| bank.n.Finance.24390       | bank%1:14:00::                         |
| bank.n.Finance.24786       | bank%1:14:00::                         |
| bank.n.Finance.24786       | bank%1:14:00::                         |
| bank.n.Finance.24786       | bank%1:14:00::                         |
| bank.n.Finance.24852       | bank%1:14:00::                         |
| bank.n.Finance.24852       | bank%1:14:00::                         |
| bank.n.Finance.24852       | bank%1:14:00::                         |
| bank.n.Finance.2538        | bank%1:14:00::                         |
| bank.n.Finance.2538        | bank%1:14:00::                         |
| bank.n.Finance.2538        | bank%1:14:00::                         |
| bank.n.Finance.2538        | bank%1:14:00::                         |
| bank.n.Finance.25467       | bank%1:14:00::                         |
| bank.n.Finance.25467       | bank%1:14:00::                         |
| bank.n.Finance.25467       | bank%1:14:00::                         |
| bank.n.Finance.2844        | bank%1:14:00::                         |
| bank.n.Finance.2844        | bank%1:14:00::                         |
| bank.n.Finance.2844        | bank%1:14:00::                         |
| bank.n.Finance.2844        | bank%1:06:00::                         |
| bank.n.Finance.28682       | bank%1:14:00::                         |
| bank.n.Finance.28682       | bank%1:14:00::                         |
| bank.n.Finance.28682       | bank%1:14:00::                         |
| bank.n.Finance.29          | bank%1:14:00::                         |
| bank.n.Finance.29          | bank%1:14:00::                         |
| bank.n.Finance.29          | bank%1:14:00::                         |
| bank.n.Finance.29          | bank%1:14:00::                         |
| bank.n.Finance.29379       | bank%1:14:00::                         |
| bank.n.Finance.29379       | bank%1:14:00::                         |
| bank.n.Finance.29379       | bank%1:14:00::                         |
| bank.n.Finance.29812       | bank%1:14:00::                         |
| bank.n.Finance.29812       | bank%1:14:00::                         |
| bank.n.Finance.29812       | bank%1:14:00::                         |
| bank.n.Finance.30396       | bank%1:14:00::                         |
| bank.n.Finance.30396       | bank%1:14:00::                         |
| bank.n.Finance.30396       | bank%1:14:00::                         |
| bank.n.Finance.30486       | bank%1:14:00::                         |
| bank.n.Finance.30486       | bank%1:14:00::                         |
| bank.n.Finance.30486       | bank%1:14:00::                         |
| bank.n.Finance.30511       | bank%1:14:00::                         |
| bank.n.Finance.30511       | bank%1:14:00::                         |
| bank.n.Finance.30511       | bank%1:14:00::                         |
| bank.n.Finance.3242        | bank%1:14:00::                         |
| bank.n.Finance.3242        | bank%1:14:00::                         |
| bank.n.Finance.3242        | bank%1:14:00::                         |
| bank.n.Finance.3242        | bank%1:14:00::                         |
| bank.n.Finance.3308        | bank%1:14:00::                         |
| bank.n.Finance.3308        | bank%1:14:00::                         |
| bank.n.Finance.3308        | bank%1:14:00::                         |
| bank.n.Finance.3308        | bank%1:14:00::                         |
| bank.n.Finance.33570       | bank%1:14:00::                         |
| bank.n.Finance.33570       | bank%1:14:00::                         |
| bank.n.Finance.33570       | bank%1:14:00::                         |
| bank.n.Finance.34781       | bank%1:14:00::                         |
| bank.n.Finance.34781       | bank%1:14:00::                         |
| bank.n.Finance.34781       | bank%1:14:00::                         |
| bank.n.Finance.35476       | bank%1:14:00::                         |
| bank.n.Finance.35476       | bank%1:14:00::                         |
| bank.n.Finance.35476       | bank%1:14:00::                         |
| bank.n.Finance.35633       | bank%1:14:00::                         |
| bank.n.Finance.35633       | bank%1:14:00::                         |
| bank.n.Finance.35633       | bank%1:14:00::                         |
| bank.n.Finance.35739       | bank%1:14:00::                         |
| bank.n.Finance.35739       | bank%1:14:00::                         |
| bank.n.Finance.35739       | bank%1:14:00::                         |
| bank.n.Finance.35851       | bank%1:14:00::                         |
| bank.n.Finance.35851       | bank%1:14:00::                         |
| bank.n.Finance.35851       | bank%1:14:00::                         |
| bank.n.Finance.35900       | bank%1:14:00::                         |
| bank.n.Finance.35900       | bank%1:14:00::                         |
| bank.n.Finance.35900       | bank%1:14:00::                         |
| bank.n.Finance.3657        | bank%1:14:00::                         |
| bank.n.Finance.3657        | unclear                                |
| bank.n.Finance.3657        | bank%1:14:00::                         |
| bank.n.Finance.3657        | bank%1:14:00::                         |
| bank.n.Finance.38035       | bank%1:14:00::                         |
| bank.n.Finance.38035       | bank%1:14:00::                         |
| bank.n.Finance.38035       | bank%1:14:00::                         |
| bank.n.Finance.38039       | bank%1:14:00::                         |
| bank.n.Finance.38039       | bank%1:14:00::                         |
| bank.n.Finance.38039       | bank%1:14:00::                         |
| bank.n.Finance.38098       | bank%1:14:00::                         |
| bank.n.Finance.38098       | bank%1:14:00::                         |
| bank.n.Finance.38098       | bank%1:14:00::                         |
| bank.n.Finance.38218       | bank%1:14:00::                         |
| bank.n.Finance.38218       | bank%1:14:00::                         |
| bank.n.Finance.38218       | bank%1:14:00::                         |
| bank.n.Finance.38687       | bank%1:14:00::                         |
| bank.n.Finance.38687       | bank%1:14:00::                         |
| bank.n.Finance.38687       | bank%1:14:00::                         |
| bank.n.Finance.3938        | bank%1:14:00::                         |
| bank.n.Finance.3938        | bank%1:14:00::                         |
| bank.n.Finance.3938        | bank%1:14:00::                         |
| bank.n.Finance.3938        | bank%1:14:00::                         |
| bank.n.Finance.42298       | bank%1:14:00::                         |
| bank.n.Finance.42298       | bank%1:14:00::                         |
| bank.n.Finance.42298       | bank%1:14:00::                         |
| bank.n.Finance.42485       | bank%1:14:00::                         |
| bank.n.Finance.42485       | bank%1:14:00::                         |
| bank.n.Finance.42485       | bank%1:14:00::                         |
| bank.n.Finance.42601       | bank%1:14:00::                         |
| bank.n.Finance.42601       | bank%1:14:00::                         |
| bank.n.Finance.42601       | bank%1:14:00::                         |
| bank.n.Finance.43286       | bank%1:14:00::                         |
| bank.n.Finance.43286       | bank%1:14:00::                         |
| bank.n.Finance.43286       | bank%1:14:00::                         |
| bank.n.Finance.43553       | bank%1:14:00::                         |
